,station_id,total_rides,lat,lon,station_name,neighborhood
82,3303.01,1093.0,40.649681,-73.967829,Caton Ave & Argyle Rd,25
83,3303.03,1636.0,40.65,-73.97,Caton Ave & Argyle Rd,25
84,3306.03,3867.0,40.649983,-74.005144,5 Ave & 41 St,17
85,3309.04,251.0,40.65127,-73.93818,Church Ave & E 42 St,4
86,3312.07,1585.0,40.651745,-73.975988,Prospect Ave & Greenwood Ave,25
87,3315.05,1002.0,40.651173,-74.011405,44 St & 3 Ave,17
88,3318.05,12.0,40.65116,-73.94577,E 34 St & Church Ave,4
89,3327.01,87.0,40.649687171,-73.95411098,Lott St & Erasmus St,4
90,3344.02,7705.0,40.651566,-73.972212,Park Cir & East Dr,25
91,3347.03,3368.0,40.651354,-74.007168,41 St & 4 Ave,17
93,3353.04,1701.0,40.650739,-73.977739,Greenwood Ave & E 4 St,25
94,3356.07,646.0,40.65230357303063,-74.01344954967499,2 Ave & 44 St,17
95,3359.01,778.0,40.65074,-73.94986,Church Ave & Nostrand Ave,4
96,3359.03,376.0,40.65272,-73.94994,Linden Blvd & Nostrand Ave,4
97,3368.04,1381.0,40.65237,-73.95623,Caton Ave & Bedford Ave,4
98,3376.02,9107.0,40.651847,-73.965248,Parade Pl & Crooke Ave,25
99,3376.04,618.0,40.6532,-73.96639,Parkside Ave & Parade Pl,25
100,3379.03,1805.0,40.652657,-74.002356,5 Ave & 37 St,17
101,3382.04,213.0,40.6533,-73.93644,Troy Ave & Linden Blvd,4
102,3385.06,4211.0,40.652563,-73.972573,Prospect Park SW & Greenwood Ave,25
103,3388.02,400.0,40.652512,-74.008906,41 St & 3 Ave,17
104,3391.1,174.0,40.65302,-73.94599,E 34 St & Linden Blvd,4
105,3394.03,1298.0,40.651654,-73.981231,McDonald Ave & Vanderbilt St,25
106,3400.04,913.0,40.65378,-73.95273,Rogers Ave & Lenox Rd,4
107,3408.05,1344.0,40.65326,-73.96172,Ocean Ave & Crooke Ave,25
108,3420.01,7425.0,40.654144,-74.00422,36 St & 4 Ave,17
109,3426.02,1734.0,40.653368,-73.976291,Prospect Ave & Vanderbilt St,25
110,3428.04,991.0,40.65292829363811,-74.01286482810974,2 Ave & 43 St,17
111,3431.02,1007.0,40.65458,-73.94716,New York Ave & Lenox Rd,4
112,3439.03,3983.0,40.65519,-73.9564,Bedford Ave & Clarkson Ave,4
113,3448.02,1966.0,40.65485,-73.96217,Parkside Ave & Ocean Ave,25
114,3451.01,687.0,40.654098,-74.001131,34 St & 5 Ave,17
115,3454.01,97.0,40.65633,-73.93648,Clarkson Ave & Troy Ave,4
116,3457.03,4058.0,40.65482,-73.973217,Prospect Park SW & Vanderbilt St,25
117,3460.01,3126.0,40.65708866668485,-74.00870203971863,2 Ave & 36 St,17
118,3460.02,2960.0,40.655716,-74.006664,36 St & 3 Ave,17
119,3460.04,330.0,40.656326,-74.009627,2 Av & 37 St,17
120,3460.05,1530.0,40.655722167971554,-74.01000827550888,2 Ave & 39 St,17
121,3463.01,494.0,40.65577,-73.9432,Clarkson Ave & E 37 St,4
122,3472.03,1975.0,40.6555,-73.94975,Clarkson Ave & Nostrand Ave,4
123,3480.04,4557.0,40.65563,-73.95968,Parkside Ave & Flatbush Ave,25
124,3486.02,1457.0,40.65666,-73.93109,Clarkson Ave & Utica Ave,4
125,3492.04,1764.0,40.655278,-74.003101,34 St & 4 Ave,17
126,3495.08,110.0,40.65496,-73.93765,Lenox Rd & E 43 St,4
127,3498.09,4876.0,40.657265,-73.974165,Prospect Park SW & 16 St,25
128,3504.02,2324.0,40.65794,-73.94735,New York Ave & Hawthorne St,4
129,3507.04,2112.0,40.656633,-73.983864,Prospect Park W & 20 St,25
130,3512.03,2763.0,40.65686,-73.95331,Winthrop St & Rogers Ave,4
131,3515.01,1633.0,40.658029,-73.989605,7 Ave & 22 St,25
132,3520.01,2057.0,40.65798,-73.96051,Flatbush Ave & Fenimore St,25
133,3523.06,1909.0,40.656986,-73.998194,29 St & 5 Ave,17
134,3526.04,65.0,40.6582,-73.9338,Winthrop St & Schenectady Ave,4
135,3526.06,304.0,40.65808,-73.93415,Winthrop St & Schenectady Ave,4
136,3532.02,1119.0,40.659176,-74.006584,2 Ave & 32 St,17
137,3535.02,693.0,40.65791,-73.93967,Albany Ave & Winthrop St,4
138,3535.03,169.0,40.6577,-73.9398,Winthrop St & Albany Ave,4
139,3538.09,6037.0,40.65629,-73.977335,11 Ave & Prospect Ave,25
140,3544.02,3908.0,40.65707,-73.95005,Winthrop St & Nostrand Ave,4
141,3547.04,1669.0,40.658489,-73.985543,19 St & 8 Ave,25
142,3552.09,2649.0,40.65815,-73.95674,Bedford Ave & Fenimore St,4
143,3555.04,5053.0,40.659555,-73.995068,24 St & 5 Ave,6
144,3564.04,2383.0,40.657743,-74.001141,30 St & 4 Ave,17
145,3567.05,442.0,40.66034,-73.93618,Rutland Rd & E 45 St,4
147,3579.04,4981.0,40.65949055893896,-73.98013919591904,Windsor Pl & Howard Pl,25
148,3585.06,1545.0,40.6595,-73.95041,Nostrand Ave & Rutland Rd,4
149,3588.01,3127.0,40.659053,-73.98854,7 Ave & 20 St,25
150,3593.01,2371.0,40.66026,-73.96045,Maple St & Flatbush Ave,25
151,3593.1,2959.0,40.66131,-73.96091,Flatbush Ave & Lincoln Rd,25
152,3596.04,2091.0,40.660079,-73.998633,4 Ave & 26 St,6
153,3599.01,376.0,40.66124,-73.93164,Midwood St & Utica Ave,4
154,3608.06,896.0,40.66155,-73.93974,Maple St & Albany Ave,4
155,3611.02,5869.0,40.659945,-73.977504,Prospect Park SW & 10 Ave,25
156,3617.02,1723.0,40.66104,-73.94795,Maple St & New York Ave,4
157,3620.02,2636.0,40.660906,-73.983074,Windsor Pl & 8 Ave,25
158,3625.04,2066.0,40.66035,-73.95679,Bedford Ave & Maple St,4
159,3625.07,3434.0,40.66127,-73.95352,Rogers Ave & Lincoln Rd,4
160,3628.11,6439.0,40.66016,-73.990974,6 Ave & 21 St,6
161,3633.08,15926.0,40.6605,-73.9626,Lincoln Rd & Ocean Ave,25
162,3639.04,784.0,40.66178,-73.93445,Schenectady Ave & Maple St,4
163,3648.06,1771.0,40.66067,-73.94243,Midwood St & Kingston Ave,4
164,3648.08,388.0,40.66219,-73.94293,Kingston Ave & E New York Ave,4
165,3651.04,19749.0,40.6610633719006,-73.97945255041122,West Drive & Prospect Park West,25
166,3657.06,2589.0,40.66318,-73.95076,Sterling St & Nostrand Ave,4
167,3660.07,4055.0,40.66093779493168,-73.98680448532104,7 Ave & 17 St,25
168,3665.06,5072.0,40.6627059,-73.9569115,Sterling St & Bedford Ave,4
169,3668.04,6469.0,40.662584,-73.995554,21 St & 4 Ave,6
170,3680.04,622.0,40.66227,-73.93762,E New York Ave & Troy Ave,4
171,3688.06,13.0,40.662564,-73.945565,Brooklyn Ave & Lefferts Ave,4
172,3696.05,5603.0,40.6630619,-73.9538746,Rogers Ave & Sterling St,4
173,3699.07,6673.0,40.663493,-73.991007,17 St & 5 Ave,6
174,3704.01,2254.0,40.66314,-73.9605695,Washington Ave & Empire Blvd,15
175,3704.04,11424.0,40.663657,-73.963014,Flatbush Ave & Ocean Ave,15
176,3704.08,862.0,40.66407983678161,-73.96025128666679,Sullivan Pl & Franklin Ave,15
177,3707.01,812.0,40.662611,-73.998623,23 St & 3 Ave,6
178,3710.07,1372.0,40.66343,-73.93472,Lefferts Ave & Schenectady Ave,4
179,3719.02,194.0,40.66288,-73.94019,Lefferts Ave & Albany Ave,4
180,3722.04,11134.0,40.66514681533792,-73.97637605667114,Prospect Park West & 8 St,25
181,3728.04,1146.0,40.66403,-73.94769,Empire Blvd & New York Ave,4
182,3728.05,205.0,40.66509,-73.94824,New York Ave & Montgomery St,4
183,3731.11,16100.0,40.663779,-73.98396846,14 St & 7 Ave,25
184,3736.03,4123.0,40.665816,-73.956934,Bedford Ave & Montgomery St,15
185,3736.04,2192.0,40.6642406,-73.9574686,Sullivan Pl & Bedford Ave,15
186,3739.06,3804.0,40.665507,-73.993037,4 Ave & 17 St,6
187,3742.11,897.0,40.66598,-73.9284,Carroll St & Rochester Ave,27
188,3751.05,310.0,40.66559,-73.93712,Crown St & Troy Ave,4
189,3759.07,2480.0,40.66481,-73.94269,Kingston Ave & Montgomery St,4
190,3762.08,10775.0,40.6662078,-73.98199886,10 St & 7 Ave,25
191,3768.02,1360.0,40.66639,-73.95346,Crown St & Rogers Ave,4
192,3771.06,11026.0,40.666287,-73.98895053,14 St & 5 Ave,6
193,3776.05,3976.0,40.666439306870814,-73.9605563879013,Montgomery St & Franklin Ave,15
194,3779.02,1116.0,40.666168,-73.995549,3 Ave & 17 St,6
195,3782.03,845.0,40.66619,-73.93162,Carroll St & Utica Ave,4
196,3791.02,2567.0,40.6667,-73.93972,Albany Ave & Carroll St,4
197,3800.07,231.0,40.66509,-73.94824,New York Ave & Montgomery St,4
198,3803.05,7067.0,40.6663181,-73.9854617,6 Ave & 12 St,6
199,3803.09,20998.0,40.668127,-73.98377641,6 Ave & 9 St,6
200,3811.05,5473.0,40.666197,-73.992466,16th St & 4th Ave,6
201,3814.01,2278.0,40.66591,-73.92602,Buffalo Ave & E New York Ave,27
202,3822.08,2734.0,40.66732,-73.93398,Schenectady Ave & President St,4
203,3831.03,1734.0,40.66688,-73.9425,Kingston Ave & Carroll St,4
204,3834.1,18827.0,40.6686627,-73.97988067,6 St & 7 Ave,15
205,3839.02,2273.0,40.66811,-73.9505,President St & Nostrand Ave,4
206,3842.08,6786.0,40.6686273,-73.98700053,10 St & 5 Ave,6
207,3845.05,655.0,40.66852,-73.92284,Eastern Pkwy & Ralph Ave,27
208,3847.04,2743.0,40.6679411,-73.9588,Carroll St & Franklin Ave,15
209,3850.03,4676.0,40.6685455,-73.99333264,3 Ave & 14 St,6
210,3853.02,1229.0,40.66846,-73.9282,Eastern Pkwy & Rochester Ave,27
211,3856.03,1601.0,40.668757,-73.966438,Flatbush Ave & Eastern Pkwy,15
212,3862.07,2412.0,40.66929,-73.93679,Eastern Pkwy & Troy Ave,4
213,3865.05,26033.0,40.668132,-73.97363831,3 St & Prospect Park West,15
214,3871.02,2893.0,40.66939,-73.94514,Eastern Pkwy & Brooklyn Ave,4
215,3874.01,7526.0,40.6704836,-73.98208968,5 St & 6 Ave,6
216,3879.04,7485.0,40.6691783,-73.9554162,Union St & Bedford Ave,15
217,3882.01,6570.0,40.668603,-73.9904394,12 St & 4 Ave,6
218,3882.05,8141.0,40.67,-73.99,10 St & 4 Ave,6
219,3885.06,529.0,40.67015,-73.92538,Buffalo Ave & St Johns Pl,27
220,3887.03,6310.0,40.6686744,-73.9618148,Carroll St & Washington Ave,15
221,3893.03,3140.0,40.66876,-73.93376,Eastern Pkwy & Schenectady Ave,4
222,3902.06,7768.0,40.66959,-73.94237,Eastern Pkwy & Kingston Ave,4
223,3905.15,20963.0,40.6703837,-73.97839676,3 St & 7 Ave,15
224,3911.05,2896.0,40.66967,-73.9503,Eastern Pkwy & Nostrand Ave,4
225,3914.02,14281.0,40.6704922,-73.98541675,7 St & 5 Ave,6
226,3917.03,762.0,40.66992,-73.92002,St Johns Pl & Howard Ave,27
227,3919.07,11432.0,40.6707767,-73.9576801,Eastern Pkwy & Franklin Ave,15
228,3922.02,3511.0,40.671907,-73.993612,10 St & 2 Ave,6
229,3925.03,907.0,40.67128,-73.92825,Sterling Pl & Rochester Ave,27
230,3928.08,10285.0,40.6716493,-73.9631145,Eastern Pkwy & Washington Ave,15
231,3931.09,1266.0,40.671409,-74.001328,Bay St & Court St,6
232,3934.06,1216.0,40.6716,-73.93378,Sterling Pl & Schenectady Ave,13
233,3934.07,1285.0,40.67251,-73.93642,Troy Ave & Park Pl,13
234,3940.04,2719.0,40.67267243410948,-74.0087952464819,Sigourney St & Columbia St,6
235,3943.03,3574.0,40.67113,-73.94222,St. Johns Pl & Kingston Ave,13
236,3946.07,6995.0,40.672784,-73.979826,1 St & 6 Ave,15
237,3950.03,950.0,40.67154,-73.91433,Park Pl & Thomas S. Boyland St,27
238,3952.07,5975.0,40.67077,-73.9507,Lincoln Pl & Nostrand Ave,4
239,3955.05,1776.0,40.6705135,-73.98876585,4 Ave & 9 St,6
240,3958.02,728.0,40.67095,-73.92222,Sterling Pl & Ralph Ave,27
241,3960.01,7841.0,40.6721683,-73.9609,Lincoln Pl & Classon Ave,15
242,3966.01,1461.0,40.6705,-73.9308,St Johns Pl & Utica Ave,27
243,3966.03,1345.0,40.67242,-73.93094,Park Pl & Utica Ave,27
244,3972.08,1606.0,40.6725058,-74.00494695,Henry St & Bay St,6
245,3975.02,1626.0,40.67297,-73.93896,Albany Ave & Park Pl,13
246,3978.13,16088.0,40.6711978,-73.97484126,Garfield Pl & 8 Ave,15
247,3981.1,1584.0,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St,6
248,3982.01,2.0,40.67319,-73.91083,Eastern Pkwy\t& St Marks Ave,27
249,3984.02,5779.0,40.67234,-73.94763,Sterling Pl & New York Ave,13
250,3987.06,12214.0,40.6728155,-73.98352355,5 Ave & 3 St,6
251,3991.04,1282.0,40.67261,-73.91977,Prospect Pl & Howard Ave,27
252,3993.03,8185.0,40.672695,-73.954131,Sterling Pl & Bedford Ave,15
253,3996.01,4021.0,40.67260298150126,-73.98983001708984,7 St & 3 Ave,6
254,3999.06,763.0,40.67202,-73.92539,Park Pl & Buffalo Ave,27
255,4001.09,8325.0,40.6737236,-73.9631611,St Johns Pl & Washington Ave,15
256,4007.01,1706.0,40.67351,-73.93363,Schenectady Ave & Prospect Pl,13
257,4010.01,18680.0,40.673134,-73.969106,Plaza St East & Flatbush Ave,15
258,4010.13,16157.0,40.6750207,-73.97111473,Plaza St West & Flatbush Ave,15
259,4010.15,22643.0,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West,15
260,4013.08,823.0,40.6747055,-74.0075572,Columbia St & Lorraine St,6
261,4014.01,211.0,40.67522,-73.9061,Pacific St & Sackman St,27
262,4016.03,4642.0,40.67308,-73.94191,Kingston Ave & Park Pl,13
263,4019.06,10602.0,40.6740886,-73.9787282,Carroll St & 6 Ave,15
264,4023.01,335.0,40.67313,-73.91387,St Marks Ave & Thomas S. Boyland St,27
265,4023.05,950.0,40.67568,-73.91396,Pacific St & Thomas S. Boyland St,27
266,4025.02,6682.0,40.67428,-73.9503,Prospect Pl & Nostrand Ave,13
267,4028.03,11726.0,40.6750705,-73.98775226,3 St & 3 Ave,6
268,4028.04,6659.0,40.673746,-73.985649,4 Ave & 3 St,6
269,4031.05,686.0,40.67372,-73.92199,St Marks Ave & Ralph Ave,27
270,4033.06,4692.0,40.6741806,-73.9564947,Park Pl & Franklin Ave,15
271,4033.16,2858.0,40.67324785,-73.95689517,Sterling Pl & Franklin Ave,15
272,4039.04,933.0,40.67404,-73.92772,St Marks Ave & Rochester Ave,27
273,4042.08,10778.0,40.6740123,-73.9671457,Underhill Ave & Lincoln Pl,15
274,4045.01,2547.0,40.67434,-74.00194698,Clinton St & Centre St,6
275,4048.03,1256.0,40.67524,-73.93596,Bergen St & Troy Ave,13
276,4051.01,23247.0,40.675146838709786,-73.97523209452629,Berkeley Pl & 7 Ave,15
277,4054.02,932.0,40.6753274,-74.0100698,Wolcott St & Dwight St,6
278,4054.06,55.0,40.67487503856169,-74.01048018571481,Dwight St & Dikeman St,6
279,4055.04,693.0,40.67374,-73.90852,Bergen St & Mother Gaston Blvd,27
280,4057.04,4417.0,40.67412,-73.94447,Brooklyn Ave & Prospect Pl,13
281,4060.09,20282.0,40.6751622,-73.9814832,Carroll St & 5 Ave,15
282,4064.03,723.0,40.67423,-73.91656,Bergen St & Saratoga Ave,27
283,4066.15,7363.0,40.676368,-73.952918,Bedford Ave & Bergen St,13
284,4072.02,710.0,40.6747,-73.92512,Bergen St & Buffalo Ave,27
285,4074.14,7973.0,40.676513,-73.959431,Classon Ave & St Marks Ave,15
286,4077.04,12643.0,40.6746957,-73.99785768,Smith St & 9 St,6
287,4077.07,7089.0,40.6763947,-73.99869893,Court St & Nelson St,6
288,4080.01,1407.0,40.67686,-73.93327,Schenectady Ave & Pacific St,13
289,4086.05,1389.0,40.6769993,-74.00647134,Columbia St & W 9 St,6
290,4086.06,1139.0,40.6763744,-74.00324957,Henry St & W 9 St,6
291,4087.01,649.0,40.67621,-73.90351,Van Sinderen Ave & Atlantic Ave,27
292,4089.01,6199.0,40.6756,-73.9415,Bergen St & Kingston Ave,13
293,4095.03,6255.0,40.6773429,-74.01275056,Van Brunt St & Wolcott St,6
294,4095.1,4775.0,40.6758329439129,-74.01472628116608,Van Brunt St & Van Dyke St,6
295,4096.08,623.0,40.67486,-73.91123,Dean St & Rockaway Ave,27
296,4098.06,4318.0,40.67514,-73.94716,New York Ave & St Marks Ave,13
297,4101.17,14401.0,40.676757,-73.983262,President St & 4 Ave,6
298,4105.01,598.0,40.67607,-73.92171,Pacific St & Ralph Ave,27
299,4107.05,17998.0,40.6758324,-73.9561677,Franklin Ave & St Marks Ave,15
300,4107.13,10906.0,40.67759206937376,-73.955637216568,Dean St & Franklin Ave,15
301,4110.1,3348.0,40.6777287,-73.99364123,3 St & Hoyt St,6
302,4113.01,983.0,40.67639,-73.92748,Pacific St & Rochester Ave,27
303,4116.08,17622.0,40.6769694,-73.96579,Prospect Pl & Underhill Ave,15
304,4119.04,7038.0,40.6783563,-74.00014502,Clinton St & 4 Place,6
305,4120.02,709.0,40.67709,-73.9008,Fulton St & Williams Ave,27
306,4122.03,2724.0,40.67686,-73.93607,Pacific St & Troy Ave,13
307,4124.04,5415.0,40.6803560840434,-73.9476791024208,Verona Pl & Fulton St,13
308,4125.07,14559.0,40.6776147,-73.97324283,7 Ave & Park Pl,15
309,4128.08,1583.0,40.6777748,-74.0094613,Pioneer St & Richards St,6
310,4129.1,828.0,40.67738,-73.90829,Herkimer St & Eastern Pkwy,27
311,4131.03,3492.0,40.67669,-73.94437,Brooklyn Ave & Dean St,13
312,4134.06,9820.0,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,15
313,4137.1,3111.0,40.677236,-74.015665,Coffey St & Conover St,6
314,4137.14,3961.0,40.67818387977647,-74.0170168876648,Coffey St & Ferris St,6
315,4138.04,2175.0,40.67854,-73.91367,Thomas S. Boyland St & Fulton St,27
316,4140.03,5000.0,40.6776,-73.94963,Pacific St & Nostrand Ave,13
317,4143.03,672.0,40.67909799721684,-73.98765474557877,Union St & Nevins St,6
318,4143.04,4256.0,40.677027,-73.9865,3 Ave & Carroll St,6
319,4146.02,1223.0,40.67717,-73.92285,Columbus Pl & Atlantic Ave,27
320,4148.07,4957.0,40.6791944,-73.9587903,Pacific St & Classon Ave,15
321,4151.01,9536.0,40.6787242,-73.99599099,Smith St & 3 St,6
322,4154.02,909.0,40.6767,-73.93051,Pacific St & Utica Ave,27
323,4157.1,16588.0,40.6794388,-73.9680438,Bergen St & Vanderbilt Ave,15
324,4161.01,2482.0,40.6786,-73.90369,Van Sinderen Ave & Truxton St,27
325,4166.08,13785.0,40.6793307,-73.97519523,Prospect Pl & 6 Ave,15
326,4169.04,7752.0,40.679043,-74.011169,Pioneer St & Van Brunt St,6
327,4170.08,1578.0,40.67872,-73.91105,Somers St & Rockaway Ave,27
328,4172.04,2687.0,40.67955,-73.94709,Herkimer St & New York Ave,13
329,4175.14,18272.0,40.6792788,-73.98154004,Douglass St & 4 Ave,20
330,4175.15,10687.0,40.6772744,-73.98282002,Union St & 4 Ave,6
331,4179.03,960.0,40.67853,-73.91642,Fulton St & Saratoga Ave,27
332,4181.1,3380.0,40.68012,-73.95362,Brevoort Pl & Bedford Ave,13
333,4184.07,10418.0,40.6786115,-73.99037292,Carroll St & Bond St,6
334,4187.04,1030.0,40.67923,-73.92588,Sumpter St & Fulton St,27
335,4190.06,9025.0,40.678045,-73.962408,Grand Ave & Bergen St,15
336,4193.14,8397.0,40.6809591,-73.99905709,1 Pl & Clinton St,6
337,4196.01,1708.0,40.67972,-73.93467,Lewis Ave & Fulton St,13
338,4196.05,3707.0,40.68012,-73.93168,Chauncey St & Stuyvesant Ave,13
339,4199.07,1764.0,40.680092336223886,-73.97118045900022,Bergen St & Carlton Ave,15
340,4199.12,4244.0,40.6809741,-73.9710097,Carlton Ave & Dean St,15
341,4199.13,9925.0,40.67911856082165,-73.97176265716553,Carlton Ave & St Marks Ave,15
342,4202.04,1596.0,40.6794327,-74.00785041,Richards St & Delavan St,6
343,4203.04,734.0,40.67945,-73.90474,Somers St & Broadway,27
344,4205.06,5106.0,40.67890679,-73.94142771,Kingston Ave & Herkimer St,13
345,4208.01,5147.0,40.678970070475735,-73.97855266928671,Sterling Pl & 5 Ave,15
346,4212.01,786.0,40.68018,-73.91136,MacDougal St & Rockaway Ave,27
347,4214.03,11525.0,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,13
348,4217.02,15941.0,40.6802133,-73.98432695,Douglass St & 3 Ave,20
349,4217.06,2527.0,40.67977,-73.9847,Degraw St & 3 Ave,6
350,4220.02,2715.0,40.67922,-73.92192,Ralph Ave & Fulton St,27
351,4222.02,7120.0,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave,15
352,4225.14,13184.0,40.680611,-73.99475825,Carroll St & Smith St,6
353,4228.02,2839.0,40.6794268,-73.9298911,Fulton St & Utica Ave,27
354,4228.06,2223.0,40.68044,-73.92842,Chauncey St & Malcolm X Blvd,27
